B0002,suwon_city_hall
B0003,jangan_ward_office
B0004,pajang_connumity_center
B0008,jeongja3dong_community_center
B0013,yeonmudong_community_center
B0014,gwonseon_ward_office
B0021,homaesil_community_center
B0022,gwonseon1dong_community_center
B0024,gogseondong_community_center
B0030,hwaseo1dong_community_center
B0037,yeongtong_ward_office
B0040,metan3dong_community_center
B0042,woncheon_community_center
B0045,taejang_connumity_center
B0047,gwang_gyo2dong_community_center
B0048,gwonseongoo_public_health
B0049, paldalgubogeonso
B0050,yeongtong_public_health
B0051,seongyeong_library
B0052,west_suwon_library
B0053,north_suwon_library
B0056,jihyesaem_library
B0058,seulgisaem_library
B0060,daechugol_library
B0063,beodeunae_library
B0064,homaesil_library
B0065,gwang_gyo_hongja_library
B0066,ilwol_library
B0067, suwonsidologyotong-gwanlisa-eobso
B0070,agricultural_technology_center
B0071,suwon_hwaseong_museum
B0102,iui_pressure_field
B0103,gwang_gyo_water_purification_plant
B0104,pajang_pressure_field
B0105,yeollim_pressure_field
B0106,waterworks_office
B0107,suwon_worker_general_welfare_center
B0108,seoho_ecology_water_resource_center
B0109,suwon_general_disabled_welfare_center
B0110,suwon_hygiene_establishment
B0111,suwon_environmental_office
B0112, geumgogdongjuminsenteo
B0114,suwon_safety_integration_center
